Title,Image,Price,Stock,Stars,Description,Upc,Price excl tax,Price incl tax,Tax
A Storm of Swords (A Song of Ice and Fire #3),http://books.toscrape.com/media/cache/0b/c8/0bc884c23d4204aec7bbf35d5e8849f6.jpg,£22.06,In stock (3 available),Two,"Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as al Here is the third volume in George R.R. Martin's magnificent cycle of novels that includes A Game of Thrones and A Clash of Kings. Together, this series comprises a genuine masterpiece of modern fantasy, destined to stand as one of the great achievements of imaginative fiction.Of the five contenders for power, one is dead, another in disfavor, and still the wars rage as alliances are made and broken. Joffrey sits on the Iron Throne, the uneasy ruler of the Seven Kingdoms. His most bitter rival, Lord Stannis, stands defeated and disgraced, victim of the sorceress who holds him in her thrall. Young Robb still rules the North from the fortress of Riverrun. Meanwhile, making her way across a blood-drenched continent is the exiled queen, Daenerys, mistress of the only three dragons still left in the world. And as opposing forces manoeuver for the final showdown, an army of barbaric wildlings arrives from the outermost limits of civilization, accompanied by a horde of mythical Others—a supernatural army of the living dead whose animated corpses are unstoppable. As the future of the land hangs in the balance, no one will rest until the Seven Kingdoms have exploded in a veritable storm of swords... ...more",87beabf664115d79,£31.22,£31.22,£0.00
Ash,http://books.toscrape.com/media/cache/20/ea/20ea16f618488e65f6abc5535fa77610.jpg,£56.02,In stock (3 available),Four,"Cinderella retold In the wake of her father's death, Ash is left at the mercy of her cruel stepmother. Consumed with grief, her only joy comes by the light of the dying hearth fire, rereading the fairy tales her mother once told her. In her dreams, someday the fairies will steal her away, as they are said to do. When she meets the dark and dangerous fairy Sidhean, she bel Cinderella retold In the wake of her father's death, Ash is left at the mercy of her cruel stepmother. Consumed with grief, her only joy comes by the light of the dying hearth fire, rereading the fairy tales her mother once told her. In her dreams, someday the fairies will steal her away, as they are said to do. When she meets the dark and dangerous fairy Sidhean, she believes that her wish may be granted.The day that Ash meets Kaisa, the King's Huntress, her heart begins to change. Instead of chasing fairies, Ash learns to hunt with Kaisa. Though their friendship is as delicate as a new bloom, it reawakens Ash's capacity for love-and her desire to live. But Sidhean has already claimed Ash for his own, and she must make a choice between fairy tale dreams and true love.Entrancing, empowering, and romantic, Ash is about the connection between life and love, and solitude and death, where transformation can come from even the deepest grief. ...more",5d22e2a46604b6e7,£22.06,£22.06,£0.00
Island of Dragons (Unwanteds #7),http://books.toscrape.com/media/cache/0f/65/0f6563cce3cc893cde20b088f6fd4107.jpg,£44.73,In stock (14 available),One,"Twins Alex and Aaron Stowe are put to the ultimate test to fulfill their destinies and save both Quill and Artimé from the deadliest enemy the cities have ever faced in the thrilling conclusion of the New York Times bestselling Unwanteds series, which Kirkus Reviews called “The Hunger Games meets Harry Potter.” Head mage Alexander Stowe and his friends successfully fended Twins Alex and Aaron Stowe are put to the ultimate test to fulfill their destinies and save both Quill and Artimé from the deadliest enemy the cities have ever faced in the thrilling conclusion of the New York Times bestselling Unwanteds series, which Kirkus Reviews called “The Hunger Games meets Harry Potter.” Head mage Alexander Stowe and his friends successfully fended off the latest threat to their magical world of Artimé with the help of a surprise ally. But old enemies have secretly been plotting against them. Now Alex must lead his people in a final epic battle, one they can’t hope to win alone. Will Artimé finally know peace or will all they’ve fought for be destroyed forever? - See more at: http://books.simonandschuster.co.uk/I... ...more",2b52334fab158861,£29.65,£29.65,£0.00
Heir to the Sky,http://books.toscrape.com/media/cache/36/39/36393f3294ab28afe4a2117fc987be75.jpg,£55.46,In stock (3 available),Four,"As heir to a kingdom of floating continents, Kali has spent her life bound by limits—by her duties as a member of the royal family, by a forced betrothal to the son of a nobleman, and by the edge of the only world she’s ever known—a small island hovering above a monster-ridden earth, long since uninhabited by humans. She is the Eternal Flame of Hope for what’s left of mank As heir to a kingdom of floating continents, Kali has spent her life bound by limits—by her duties as a member of the royal family, by a forced betrothal to the son of a nobleman, and by the edge of the only world she’s ever known—a small island hovering above a monster-ridden earth, long since uninhabited by humans. She is the Eternal Flame of Hope for what’s left of mankind, the wick and the wax burning in service for her people, and for their revered Phoenix, whose magic keeps them aloft.When Kali falls off the edge of her kingdom and miraculously survives, she is shocked to discover there are still humans on the earth. Determined to get home, Kali entrusts a rugged monster-hunter named Griffin to guide her across a world overrun by chimera, storm dragons, basilisks, and other terrifying beasts. But the more time she spends on earth, the more dark truths she begins to uncover about her home in the sky, and the more resolute she is to start burning for herself. ...more",b003f8bb02f76dc5,£44.07,£44.07,£0.00
Searching for Meaning in Gailana,http://books.toscrape.com/media/cache/9e/b4/9eb4396139c421fc9f832011c68adb2c.jpg,£56.02,In stock (13 available),One,"Gailana is the central island of the world; Aurganots, Reminos, Hindarassis, Pelanese, and Free People, different societies with different customs and values, live in it. Gailana is old, with a history rich in events and civilisations. The mother island has undergone important changes in recent decades, including a devastating war from which the Aurganots emerged victoriou Gailana is the central island of the world; Aurganots, Reminos, Hindarassis, Pelanese, and Free People, different societies with different customs and values, live in it. Gailana is old, with a history rich in events and civilisations. The mother island has undergone important changes in recent decades, including a devastating war from which the Aurganots emerged victorious. Following this war, Aurganot has become a country of wealth, technology, and power, dominating all others.In this modern age, Aurganots value their new found joie de vivre; Pelanese love commerce and business; Reminos are still dedicated to honour and glory in war; Hindarassis continue to care most about their families; and the Free People cherish their freedom above anything else. Among the Free People, a young Levon has set a high and ambitious goal: to seek and find the ultimate meaning of all that humans do. Levon has been on his intellectual quest for years, and the coming days are significant. Paratos, the sage of Gailana, is in the land of the Free People, and Levon is readying to meet him. The young man knows that something life changing will come out from this meeting, only he does not imagine what.In this fictional first part of The Story in Three Parts, John H.T. Francis tells the story of Levon, a young and sincere soul looking for meaning in a changing world. This short novel will take you on a journey through Gailana, shows you its diversity, and brings you close to many of its human aspects. Events will develop fast on the island, and Levon is about to be in the midst of them. ...more",2f0213137a80d485,£38.73,£38.73,£0.00
Darkfever (Fever #1),http://books.toscrape.com/media/cache/f2/53/f253cb694eae2cc512e395f2d54eefd5.jpg,£43.87,In stock (3 available),One,"When her sister is murdered, leaving a single clue to her death—a cryptic message on MacKayla Lane’s cell phone–Mac journeys to Ireland in search of answers. The quest to find her sister’s killer draws her into a shadowy realm where nothing is as it seems, where good and evil wear the same treacherously seductive mask. She is soon faced with an even greater challenge: stay When her sister is murdered, leaving a single clue to her death—a cryptic message on MacKayla Lane’s cell phone–Mac journeys to Ireland in search of answers. The quest to find her sister’s killer draws her into a shadowy realm where nothing is as it seems, where good and evil wear the same treacherously seductive mask. She is soon faced with an even greater challenge: staying alive long enough to learn how to handle a power she had no idea she possessed—a gift that allows her to see beyond the world of man, into the dangerous realm of the Fae. ...more",468bd274ac084bb9,£56.02,£56.02,£0.00
Eragon (The Inheritance Cycle #1),http://books.toscrape.com/media/cache/8e/5a/8e5a6639c7e2f9b59ff15f04a3b055e1.jpg,£44.07,In stock (3 available),Three,"One boy. One dragon. A world of adventure.When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon realizes he has stumbled upon a legacy nearly as old as the Empire itself.Overnight his simple life is shattered, and One boy. One dragon. A world of adventure.When Eragon finds a polished blue stone in the forest, he thinks it is the lucky discovery of a poor farm boy; perhaps it will buy his family meat for the winter. But when the stone brings a dragon hatchling, Eragon realizes he has stumbled upon a legacy nearly as old as the Empire itself.Overnight his simple life is shattered, and he is thrust into a perilous new world of destiny, magic, and power. With only an ancient sword and the advice of an old storyteller for guidance, Eragon and the fledgling dragon must navigate the dangerous terrain and dark enemies of an Empire ruled by a king whose evil knows no bounds.Can Eragon take up the mantle of the legendary Dragon Riders? The fate of the Empire may rest in his hands. ...more",b843f52a986a2914,£43.87,£43.87,£0.00
Soldier (Talon #3),http://books.toscrape.com/media/cache/79/15/7915bf4c3d1a2f7fd39c4edff580e91f.jpg,£58.64,In stock (3 available),Two,"The price of freedom is everything.When forced to choose between safety with the dragon organization Talon and being hunted forever as an outcast, Ember Hill chose to stand with Riley and his band of rogue dragons rather than become an assassin for Talon. She’s lost any contact with her twin brother, Dante, a Talon devotee, as well as Garret, the former-enemy soldier who c The price of freedom is everything.When forced to choose between safety with the dragon organization Talon and being hunted forever as an outcast, Ember Hill chose to stand with Riley and his band of rogue dragons rather than become an assassin for Talon. She’s lost any contact with her twin brother, Dante, a Talon devotee, as well as Garret, the former-enemy soldier who challenged her beliefs about her human side.As Ember and Riley hide and regroup to fight another day, Garret journeys alone to the United Kingdom, birthplace of the ancient and secret Order of St. George, to spy on his former brothers and uncover deadly and shocking secrets that will shake the foundations of dragons and dragonslayers alike and place them all in imminent danger as Talon’s new order rises. ...more",feaaae90514eb2ac,£24.72,£24.72,£0.00
Harry Potter and the Chamber of Secrets (Harry Potter #2),http://books.toscrape.com/media/cache/9e/3c/9e3c81f9694c5832a24bf590c2a0b610.jpg,£48.75,In stock (4 available),One,"All Harry Potter wants is to get away from the Dursleys and go back to Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby - who says that if Harry Potter returns to Hogwarts, disaster will strike.And strike it does. For in Harry's second year at Hogwarts, fresh torments and ho All Harry Potter wants is to get away from the Dursleys and go back to Hogwarts School for Witchcraft and Wizardry. But just as he's packing his bags, Harry receives a warning from a strange, impish creature named Dobby - who says that if Harry Potter returns to Hogwarts, disaster will strike.And strike it does. For in Harry's second year at Hogwarts, fresh torments and horrors arise, including an outrageously stuck-up new professor, Gilderoy Lockheart, a spirit named Moaning Myrtle who haunts the girls' bathroom, and the unwanted attentions of Ron Weasley's younger sister, Ginny.But each of these seem minor annoyances when the real trouble begins, and someone--or something--starts turning Hogwarts students to stone. Could it be Draco Malfoy, a more poisonous rival than ever? Could it possibly be Hagrid, whose mysterious past is finally told? Or could it be the one everyone at Hogwarts most suspects... Harry Potter himself. ...more",c7c4f55b7321cba7,£14.74,£14.74,£0.00
The Demonists (Demonist #1),http://books.toscrape.com/media/cache/be/f8/bef8aac75369fc2211515cd4c76d3518.jpg,£17.21,In stock (4 available),Two,"There is more to our world than meets the eye—darker things, crueler things. Exorcist John Fogg and his wife, psychic medium Theodora Knight, know what lurks in the shadows. But even they’re not prepared for the worst Hell has to offer... It was supposed to be a simple exorcism, a publicity stunt to firmly establish John and Theodora’s thriving paranormal investigation em There is more to our world than meets the eye—darker things, crueler things. Exorcist John Fogg and his wife, psychic medium Theodora Knight, know what lurks in the shadows. But even they’re not prepared for the worst Hell has to offer...   It was supposed to be a simple exorcism, a publicity stunt to firmly establish John and Theodora’s thriving paranormal investigation empire in the public eye. But something went wrong, leading to an on-air massacre that unleashed a malicious host of demons and left Theodora catatonic, possessed by countless spirits.   John sets out on a desperate quest to find a cure for his wife, but his obsession brings him face-to-face with an even more terrifying problem: Theodora’s possession is only one piece of a deadly plot that is threatening the entire world. Because an ancient evil is about to make Earth its battlefield—and without John and Theodora’s intervention, there is no chance for salvation... ...more",ff2dffba388d9922,£52.11,£52.11,£0.00
The Rose & the Dagger (The Wrath and the Dawn #2),http://books.toscrape.com/media/cache/a9/b6/a9b62c069312790dd2d408b0b57a2976.jpg,£14.74,In stock (3 available),Four,"The much anticipated sequel to the breathtaking The Wrath and the Dawn, lauded by Publishers Weekly as ""a potent page-turner of intrigue and romance.""I am surrounded on all sides by a desert. A guest, in a prison of sand and sun. My family is here. And I do not know whom I can trust.In a land on the brink of war, Shahrzad has been torn from the love of her husband Khalid, The much anticipated sequel to the breathtaking The Wrath and the Dawn, lauded by Publishers Weekly as ""a potent page-turner of intrigue and romance.""I am surrounded on all sides by a desert. A guest, in a prison of sand and sun. My family is here. And I do not know whom I can trust.In a land on the brink of war, Shahrzad has been torn from the love of her husband Khalid, the Caliph of Khorasan. She once believed him a monster, but his secrets revealed a man tormented by guilt and a powerful curse—one that might keep them apart forever. Reunited with her family, who have taken refuge with enemies of Khalid, and Tariq, her childhood sweetheart, she should be happy. But Tariq now commands forces set on destroying Khalid's empire. Shahrzad is almost a prisoner caught between loyalties to people she loves. But she refuses to be a pawn and devises a plan.While her father, Jahandar, continues to play with magical forces he doesn't yet understand, Shahrzad tries to uncover powers that may lie dormant within her. With the help of a tattered old carpet and a tempestuous but sage young man, Shahrzad will attempt to break the curse and reunite with her one true love.From the Hardcover edition. ...more",322a9e34d87f54b1,£58.64,£58.64,£0.00
Paper and Fire (The Great Library #2),http://books.toscrape.com/media/cache/b6/3b/b63bd741fc6ada1e60a33db14bde0277.jpg,£46.08,In stock (4 available),Five,"In Ink and Bone, New York Times bestselling author Rachel Caine introduced a world where knowledge is power, and power corrupts absolutely. Now, she continues the story of those who dare to defy the Great Library—and rewrite history…With an iron fist, The Great Library controls the knowledge of the world, ruthlessly stamping out all rebellion, forbidding the personal owner In Ink and Bone, New York Times bestselling author Rachel Caine introduced a world where knowledge is power, and power corrupts absolutely. Now, she continues the story of those who dare to defy the Great Library—and rewrite history…With an iron fist, The Great Library controls the knowledge of the world, ruthlessly stamping out all rebellion, forbidding the personal ownership of books in the name of the greater good.Jess Brightwell has survived his introduction to the sinister, seductive world of the Library, but serving in its army is nothing like he envisioned. His life and the lives of those he cares for have been altered forever. His best friend is lost, and Morgan, the girl he loves, is locked away in the Iron Tower and doomed to a life apart.Embarking on a mission to save one of their own, Jess and his band of allies make one wrong move and suddenly find themselves hunted by the Library’s deadly automata and forced to flee Alexandria, all the way to London.But Jess’s home isn’t safe anymore. The Welsh army is coming, London is burning, and soon, Jess must choose between his friends, his family, or the Library willing to sacrifice anything and anyone in the search for ultimate control… ...more",ae884ac655d6ee3e,£49.45,£49.45,£0.00
Harry Potter and the Order of the Phoenix (Harry Potter #5),http://books.toscrape.com/media/cache/ca/56/ca565814dfe2d9f73d3d6b1ad7265984.jpg,£49.45,In stock (4 available),Four,"Harry Potter is due to start his fifth year at Hogwarts School of Witchcraft and Wizardry. His best friends Ron and Hermione have been very secretive all summer and he is desperate to get back to school and find out what has been going on. However, what Harry discovers is far more devastating than he could ever have expected...Suspense, secrets and thrilling action from th Harry Potter is due to start his fifth year at Hogwarts School of Witchcraft and Wizardry. His best friends Ron and Hermione have been very secretive all summer and he is desperate to get back to school and find out what has been going on. However, what Harry discovers is far more devastating than he could ever have expected...Suspense, secrets and thrilling action from the pen of J.K. Rowling ensure an electrifying adventure that is impossible to put down. ...more",5a6b7155f2797537,£31.63,£31.63,£0.00
Midnight Riot (Peter Grant/ Rivers of London - books #1),http://books.toscrape.com/media/cache/cd/65/cd65e4ee648ae23f6cdafb41e4948d6e.jpg,£24.72,In stock (3 available),Two,"Probationary Constable Peter Grant dreams of being a detective in London's Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he'll face is a paper cut. But Peter's prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter' Probationary Constable Peter Grant dreams of being a detective in London's Metropolitan Police. Too bad his superior plans to assign him to the Case Progression Unit, where the biggest threat he'll face is a paper cut. But Peter's prospects change in the aftermath of a puzzling murder, when he gains exclusive information from an eyewitness who happens to be a ghost. Peter's ability to speak with the lingering dead brings him to the attention of Detective Chief Inspector Thomas Nightingale, who investigates crimes involving magic and other manifestations of the uncanny. Now, as a wave of brutal and bizarre murders engulfs the city, Peter is plunged into a world where gods and goddesses mingle with mortals and long-dead evil is making a comeback on a rising tide of magic. ...more",e9056f9b5a40a301,£55.46,£55.46,£0.00
Harry Potter and the Half-Blood Prince (Harry Potter #6),http://books.toscrape.com/media/cache/06/ee/06ee91950f111a29d18bccb0c3418fb4.jpg,£31.63,In stock (4 available),Five,"It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor It is the middle of the summer, but there is an unseasonal mist pressing against the windowpanes. Harry Potter is waiting nervously in his bedroom at the Dursleys' house in Privet Drive for a visit from Professor Dumbledore himself. One of the last times he saw the Headmaster was in a fierce one-to-one duel with Lord Voldemort, and Harry can't quite believe that Professor Dumbledore will actually appear at the Dursleys' of all places. Why is the Professor coming to visit him now? What is it that cannot wait until Harry returns to Hogwarts in a few weeks' time? Harry's sixth year at Hogwarts has already got off to an unusual start, as the worlds of Muggle and magic start to intertwine...J.K. Rowling charts Harry Potter's latest adventures in his sixth year at Hogwarts with consummate skill and in breathtaking fashion. ...more",73f4f87dd936ee5c,£48.75,£48.75,£0.00
Origins (Alphas 0.5),http://books.toscrape.com/media/cache/ad/78/ad789235c675d02b730b57a166d910b5.jpg,£21.72,In stock (1 available),One,"From Ilona Andrews—#1 New York Times bestselling author of Magic Shifts and the Kate Daniels novels—comes a stark, seductive tale of a world torn asunder by supernatural gifts and irresistible passions...Karina Tucker is driving a van of children home from a field trip when an unplanned detour to a seemingly ordinary rest stop changes her life. There, she witnesses a world From Ilona Andrews—#1 New York Times bestselling author of Magic Shifts and the Kate Daniels novels—comes a stark, seductive tale of a world torn asunder by supernatural gifts and irresistible passions...Karina Tucker is driving a van of children home from a field trip when an unplanned detour to a seemingly ordinary rest stop changes her life. There, she witnesses a world beyond humanity’s sight, of frightful powers and chaos, where she is in death’s grip... before an irresistibly dangerous male saves her—only to take her captive.For she is a rare commodity in the shadowy realm she’s entered.Karina soon finds herself caught in a violent civil war where those with inhuman powers strive to destroy each other without mercy. And it becomes all too clear that she must make a choice: submit and become a pawn, or take hold of her own destiny and fight for survival against impossible odds.Alphas: Origins originally appeared in Angels of Darkness. ...more",8932e5c12f12ffed,£28.99,£28.99,£0.00
Shadow Rites (Jane Yellowrock #10),http://books.toscrape.com/media/cache/b8/35/b83561ef09d202d3c871649feed4b66d.jpg,£13.33,In stock (1 available),Four,"Slaying vampires is child’s play for skinwalker Jane Yellowrock. But handling the complicated politics of New Orleans’ supernatural players is another story...Jane is keeping the peace between visiting groups of witches and vamps in the city, but then trouble comes knocking on her doorstep. When her house is magically attacked, the wild chase to find her assailants unearth Slaying vampires is child’s play for skinwalker Jane Yellowrock. But handling the complicated politics of New Orleans’ supernatural players is another story...Jane is keeping the peace between visiting groups of witches and vamps in the city, but then trouble comes knocking on her doorstep. When her house is magically attacked, the wild chase to find her assailants unearths a mystery that has literally been buried deep.A missing master vampire, presumed long deceased, is found chained in a pit...undead, raving mad, and in the company of two human bodies. Now it’s up to Jane to find out who kept the vampire hidden for so long and why, because the incident could tip already high supernatural tensions to an all-out arcane war. ...more",229cd6564bf0dce4,£21.72,£21.72,£0.00
One Second (Seven #7),http://books.toscrape.com/media/cache/70/ad/70ad2de442bc3ffe36660ccabfe46148.jpg,£28.99,In stock (1 available),Two,"***USA TODAY BESTSELLING SERIES*** EXPLOSIVE FINAL INSTALLMENT IN THE SEVEN SERIES Book 1 is on sale for a limited time! Love. Family. Brotherhood. Lexi has faced personal struggles, but nothing has prepared her for the most perilous battle of her life. Shifters are on the brink of war as Northerners target Colorado in an attempt to infiltrate the borders. Texas winds up o ***USA TODAY BESTSELLING SERIES*** EXPLOSIVE FINAL INSTALLMENT IN THE SEVEN SERIES Book 1 is on sale for a limited time! Love. Family. Brotherhood. Lexi has faced personal struggles, but nothing has prepared her for the most perilous battle of her life. Shifters are on the brink of war as Northerners target Colorado in an attempt to infiltrate the borders. Texas winds up on the hit list, and the Weston pack prepares to fight for their land… and for their lives. Austin’s courage is put to the test when rogues want to seize his land and slaughter his pack. But that’s not all he’s facing as two shocking revelations turn their lives upside down. His love for Lexi is unwavering, but their future is uncertain. Will the local packs set aside their differences to fight together, or will this be the end of peace among Shifters? Stand witness to the epic conclusion of the Seven series. Destiny will find you. + Cliffhanger-free + HEA SEVEN SERIES READING ORDER: Book 1 - Seven Years (Seven Series #1) Book 2 - Six Months (Seven Series #2) Book 3 - Five Weeks (Seven Series #3) Book 4 - Four Days (Seven Series #4) Book 5 - Three Hours (Seven Series #5) Book 6 - Two Minutes (Seven Series #6) Book 7 - One Second (Seven Series #7) SEVEN WORLD Charming MAGERI SERIES READING ORDER: Book 1 - Sterling (Mageri Series: Book 1) Book 2 - Twist (Mageri Series: Book 2) Book 3 - Impulse (Mageri Series: Book 3) Book 4 - Gravity (Mageri Series: Book 4) Book 5 - Shine (Mageri Series: Book 5) Final Installment! MAGERI WORLD: Risk (coming soon) OTHER BOOKS: Closer: A Novella ...more",7ea31f38675b91c1,£52.94,£52.94,£0.00
Myriad (Prentor #1),http://books.toscrape.com/media/cache/48/7d/487d4be44c60cac7f0085242c4512653.jpg,£52.94,In stock (1 available),Four,"Alternate Cover Edition: 14783849642016 Revised EditionKalin, tired of being put down for who he is, leaves home when he turns eighteen. Despite being a warlock, he’s denied his magic for years because his parents told him magic is evil. He just wants to start a new life and leave his past behind.But then Kalin is approached by a group who tell him he has a rare kind of po Alternate Cover Edition: 14783849642016 Revised EditionKalin, tired of being put down for who he is, leaves home when he turns eighteen. Despite being a warlock, he’s denied his magic for years because his parents told him magic is evil. He just wants to start a new life and leave his past behind.But then Kalin is approached by a group who tell him he has a rare kind of power—and the ability to stop a dark warlock from threatening the Royal family. Kalin doesn’t think he can help until one of the witches, a seer named Regina, has a vision about his future. The truth behind his ability shocks him—and may lead to his death and the death of his new friends. With Regina's visions as his guide, will he decide the risk is worth taking?This is a NOVELLA of approximately 27,000 words. ...more",63e20a0f98218a87,£58.75,£58.75,£0.00
Sister Sable (The Mad Queen #1),http://books.toscrape.com/media/cache/26/47/2647baddb86f91b6f7ea2fb8052edd62.jpg,£29.38,In stock (1 available),Three,"THE FIRST TENET OF THE WIND: Do not get caught.Sister Sable has lived by the first tenet for seven years, but when an unexpected accident reveals the runaway nun to the clergy, she is forced to embrace the remaining four.THE SECOND TENET OF THE WIND: Win by any means.With the King’s spymaster committed to killing her, and his general regretting he didn’t, Sable enters a de THE FIRST TENET OF THE WIND: Do not get caught.Sister Sable has lived by the first tenet for seven years, but when an unexpected accident reveals the runaway nun to the clergy, she is forced to embrace the remaining four.THE SECOND TENET OF THE WIND: Win by any means.With the King’s spymaster committed to killing her, and his general regretting he didn’t, Sable enters a deadly game.THE THIRD TENET OF THE WIND: The purpose of picking up a blade is to cut the enemy.Scaring them is discretionary.THE FOURTH TENET OF THE WIND: Have no preferred weapon. Even so, she likes the axe.THE FIFTH TENET OF THE WIND: Know the way of all professions.Prophet, pilot, assassin, spy, Sable will need to call upon all she has learned to protect the King’s future from the past. ...more",3a9a7c5895e82646,£13.33,£13.33,£0.00
Vampire Girl (Vampire Girl #1),http://books.toscrape.com/media/cache/32/8d/328dc781f0faaa70e67f9a04ef601d3c.jpg,£50.96,In stock (1 available),Two,"You think it's safe to walk alone at night. It's not. You think the only threat is other humans. It's not. Monsters are real. Demons are real. Vampires are real. And I'm about to become one of them. My name is Arianna Spero. I was an ordinary girl, living an ordinary life, until my mother lapsed into a coma. Now, I am her only hope. She made a deal with the devil, and on m You think it's safe to walk alone at night. It's not. You think the only threat is other humans. It's not. Monsters are real. Demons are real. Vampires are real. And I'm about to become one of them. My name is Arianna Spero. I was an ordinary girl, living an ordinary life, until my mother lapsed into a coma. Now, I am her only hope. She made a deal with the devil, and on my 18th birthday he came to collect. But there's a way to save her. There's something the princes of hell want more than my mother. Me. So I signed my soul away and promised to pick a prince to marry. I would take the blood oath, become one of them, and give them an heir. I would become a princess of hell, and my mother would live. I expected fire and brimstone. I expected pain and misery. I didn't expect beauty. I didn't expect magic. I didn't expect love. But the princes are keeping secrets from me. Secrets that could shatter everything. Scroll up and click the buy button now to uncover the truth... ...more",dab5e75d1339706a,£53.82,£53.82,£0.00
The Mirror & the Maze (The Wrath and the Dawn #1.5),http://books.toscrape.com/media/cache/61/8a/618a23dc5a492a4aa8b15ba4bf80c781.jpg,£36.25,In stock (1 available),One,"The city of Rey is burning. With smoke billowing, fires blazing and his people fleeing, Khalid races back to defend his city, and protect his queen. But Khalid is too late to do either. He and his men arrive to find the city in ruins, nothing but a maze of destruction, and Shahrzad is gone. But who could have wrought such devastation? Khalid fears he may already know the a The city of Rey is burning. With smoke billowing, fires blazing and his people fleeing, Khalid races back to defend his city, and protect his queen. But Khalid is too late to do either. He and his men arrive to find the city in ruins, nothing but a maze of destruction, and Shahrzad is gone. But who could have wrought such devastation? Khalid fears he may already know the answer, the price of choosing love over the people of Rey all too evident. ...more",c40b70e0f6d80189,£29.38,£29.38,£0.00
The Silent Twin (Detective Jennifer Knight #3),http://books.toscrape.com/media/cache/c1/80/c1800f5a0eaaaea8c2283b129cbac4ae.jpg,£53.82,In stock (1 available),Three,"I’m alone in the dark, please can you find me …Nine-year-old twins Abigail and Olivia vow never to be parted. But when Abigail goes missing from Blackwater Farm, DC Jennifer Knight must find her before it’s too late. Twin sister Olivia has been mute since Abigail’s disappearance. But when she whispers in Jennifer’s ear, Jennifer realises it is Abigail’s voice pleading to b I’m alone in the dark, please can you find me …Nine-year-old twins Abigail and Olivia vow never to be parted. But when Abigail goes missing from Blackwater Farm, DC Jennifer Knight must find her before it’s too late. Twin sister Olivia has been mute since Abigail’s disappearance. But when she whispers in Jennifer’s ear, Jennifer realises it is Abigail’s voice pleading to be found. A damp and decaying house set in acres of desolate scrubland, the farm is a place of secrets, old and new – and Jennifer must unravel them all in order to find the lost girl. But could Olivia’s bond with her twin hold the key to finding Abigail? And can Jennifer break through her silence in time to save her sister’s life? A darkly gripping, page-turning thriller that will enthrall fans of Rachel Abbott, Alex Marwood’s The Wicked Girls and Mark Edwards. Praise for Caroline Mitchell:‘Fan-bloody-tastic! I enjoyed this book so much that I forced myself to read slowly as I just could not bear for it to end… I thought the story was brilliant. The characters were creative and kept me hooked. ‘The twists and turns kept me gasping for more… Could not recommend this book any more highly!’ Crime Book Junkie ‘This is a well written supernatural detective story, with a surprising twist that I guarantee will keep you glued to the last page… at times I couldn’t turn the pages quickly enough, it’s atmospheric, gritty and at times just plain scary, and what a twist at the end.’ The Book Review Café ‘With a brilliant cast of crime characters, and a plot that was enough to make me feel dizzy, this was a compelling book that I just couldn't get enough of. Every word, every page, every murder, every guess... I couldn't wait for the final piece of the jigsaw to fit into place… the word 'thrilling' just doesn't do this justice.’ Becca’s Books ...more",9e9932ae1a7d0943,£36.25,£36.25,£0.00
